"incentive_id","title","company_id","company_name","score","rank"
"17","Derrama municipal - Possibilidade atribuída aos minicípios de lançarem anualmente uma derrama a uma taxa inferior à máxima legalmente prevista","242561","DORNIER PORTUGAL, S.A.","0.320107008808434",5
"18","Investimentos em baixa na gestão de resíduos urbanos (IT) - Bolsa de Overbooking Condicionado","234665","RESÍDUOS DO NORDESTE, EIM, S.A.","0.5099673870196162",1
"18","Investimentos em baixa na gestão de resíduos urbanos (IT) - Bolsa de Overbooking Condicionado","230004","ASCENDI GRANDE PORTO - AUTO ESTRADAS DO GRANDE PORTO, S.A.","0.46926985955806366",2
"18","Investimentos em baixa na gestão de resíduos urbanos (IT) - Bolsa de Overbooking Condicionado","231001","REDE AMBIENTE - ENGENHARIA E SERVIÇOS, S.A.","0.4675864716645025",3
"18","Investimentos em baixa na gestão de resíduos urbanos (IT) - Bolsa de Overbooking Condicionado","223923","JUDITE MARIA JESUS DIAS - OPERAÇÕES DE GESTÃO DE RESÍDUOS, LDA","0.46377301324090503",4
"18","Investimentos em baixa na gestão de resíduos urbanos (IT) - Bolsa de Overbooking Condicionado","80213","PDSM PORTFÓLIO (PORTUGAL) - SIC IMOBILIÁRIA FECHADA, S.A.","0.4605195659553877",5
"19","Eficiência energética na administração local (IT) - Bolsa de Overbooking Condicionado","230733","CASCAIS PRÓXIMA - GESTÃO DE MOBILIDADE, ESPAÇOS URBANOS E ENERGIAS, E.M., S.A.","0.4801165151665526",1
"19","Eficiência energética na administração local (IT) - Bolsa de Overbooking Condicionado","407","IPARQUE - PARQUE PARA A INOVAÇÃO EM CIÊNCIA, TECNOLOGIA E SAÚDE, E.M., S.A.","0.4679940193891525",2
"19","Eficiência energética na administração local (IT) - Bolsa de Overbooking Condicionado","154199","MAFRICENTRO - CONSTRUÇÕES, UNIPESSOAL, LDA","0.4672042429447174",3
"19","Eficiência energética na administração local (IT) - Bolsa de Overbooking Condicionado","216555","SOLVASTO - PROJETOS E INVESTIMENTO, LDA","0.4654198309528937",4
"19","Eficiência energética na administração local (IT) - Bolsa de Overbooking Condicionado","72652","SOBREICAR, LDA","0.464478431014922",5
"20","Eficiência Energética em Infraestruturas Públicas – Administração Pública Local ","230733","CASCAIS PRÓXIMA - GESTÃO DE MOBILIDADE, ESPAÇOS URBANOS E ENERGIAS, E.M., S.A.","0.5647650659084351",1
"20","Eficiência Energética em Infraestruturas Públicas – Administração Pública Local ","233767","ADENE - AGÊNCIA PARA A ENERGIA","0.5548634868941621",2
"20","Eficiência Energética em Infraestruturas Públicas – Administração Pública Local ","244119","ALENTEJO CENTRAL SMARTLIGHT, LDA","0.5484503760010295",3
"20","Eficiência Energética em Infraestruturas Públicas – Administração Pública Local ","117408","AGÊNCIA MUNICIPAL DE ENERGIA DO SEIXAL - AMESEIXAL","0.5481428549800609",4
